step_size,optim_number,x1,x2,x_HJ1,x_HJ2,y,f_calls_HJ,is_global_min_HJ,x_Rosen.1,x_ROsen2,y_Rosen,f_calls_Rosen,is_global_min_Rosen
1,0,-0.403278,0.466027,-0.821793,0.0475112,0.76041,403,0,6.21728e-07,4.01676e-07,1.74289e-11,403,1
1,1,-0.526238,0.702311,-0.614274,0.614275,2.53578,450,0,-7.18023e-07,0.775084,0.620446,450,0
1,2,-0.801873,0.606611,-0.704241,0.704243,1.53521,527,0,-0.775084,2.2641e-07,0.620446,527,0
1,3,-0.975698,0.789982,-0.88284,0.882839,1.96315,429,0,8.08297e-07,0.775083,0.620446,429,0
1,4,-0.50531,-0.57542,0.0350554,-0.0350547,0.0777061,350,0,1.9489e-07,4.94263e-07,8.97971e-12,350,1
1,5,0.845627,0.870591,-0.0124817,0.0124815,0.0099041,306,0,5.09606e-07,3.41659e-07,1.19749e-11,306,1
1,6,0.560326,0.744992,-0.0923325,0.0923338,0.519807,252,0,3.79509e-07,0.775083,0.620446,252,0
1,7,-0.15628,-0.49556,0.16964,-0.16964,1.58386,181,0,4.59309e-07,-7.5496e-07,2.48424e-11,181,1
1,8,0.976779,-0.360083,0.668431,-0.668431,1.87427,438,0,8.98586e-07,-2.84264e-07,2.82567e-11,438,1
1,9,0.104544,0.827187,0.0256885,0.748331,0.663319,508,0,3.32641e-07,0.775084,0.620446,508,0
1,10,0.679862,-0.903159,0.79151,-0.791511,1.25785,444,0,-0.775083,5.99174e-07,0.620446,444,0
1,11,-0.145712,0.4449,-0.67721,-0.0865981,1.12071,366,0,-2.84601e-07,-6.55455e-07,1.62435e-11,366,1
1,12,0.0671183,-0.363647,-0.0934283,-0.524194,2.10316,324,0,6.16017e-07,1.22805e-07,1.25513e-11,324,1
1,13,0.450948,0.293141,0.0789042,-0.0789036,0.383993,545,0,-3.95893e-07,-0.775083,0.620446,545,0
1,14,-0.715449,-0.872368,0.0784596,-0.0784599,0.379815,403,0,-0.775084,-4.21623e-07,0.620446,403,0
1,15,-0.201434,-0.303859,0.0512122,-0.0512124,0.164698,333,0,0.775083,0.775083,1.24089,333,0
1,16,-0.0151557,0.327039,-0.171097,0.171098,1.60711,355,0,6.48522e-08,-5.13031e-07,8.50653e-12,355,1
1,17,-0.707368,0.348863,-0.905386,0.150845,1.78615,437,0,-0.775084,-6.91674e-07,0.620446,437,0
1,18,0.925871,0.902489,0.0116905,-0.0116915,0.00868995,357,0,3.45547e-07,5.73469e-07,1.42601e-11,357,1
1,19,0.134228,0.252003,-0.0588881,0.0588869,0.216848,434,0,5.79391e-07,-0.775083,0.620446,434,0
1,20,-0.3198,-0.694322,0.187261,-0.187261,1.86888,447,0,0.775083,-0.775083,1.24089,447,0
1,21,0.687498,0.781978,-0.0472405,0.0472398,0.140413,211,0,0.775084,0.775083,1.24089,211,0
1,22,-0.194793,0.46769,-0.71681,-0.0543266,0.814035,390,0,0.775084,4.31243e-07,0.620446,390,0
1,23,-0.950204,-0.278451,0.0499865,0.72174,0.784098,467,0,6.24394e-07,0.775083,0.620446,467,0
1,24,-0.0434493,0.630637,-0.722976,-0.0488898,0.776938,347,0,8.52249e-08,5.56881e-07,1.00964e-11,347,1
1,25,-0.218092,0.0101971,-0.114145,0.114144,0.776636,366,0,0.775083,4.41971e-07,0.620446,366,0
