Czas;VA;VB;TB
0x;5x;1x;20x
1x;4.9898x;1.01018x;20.7034x
2x;4.97961x;1.02029x;21.3852x
3x;4.96943x;1.03034x;22.0464x
4x;4.95926x;1.04034x;22.6879x
5x;4.9491x;1.05027x;23.3103x
6x;4.93895x;1.06015x;23.9146x
7x;4.92881x;1.06997x;24.5013x
8x;4.91868x;1.07973x;25.0713x
9x;4.90857x;1.08943x;25.6251x
10x;4.89846x;1.09908x;26.1633x
11x;4.88836x;1.10867x;26.6866x
12x;4.87828x;1.1182x;27.1955x
13x;4.8682x;1.12768x;27.6905x
14x;4.85814x;1.13711x;28.1721x
15x;4.84808x;1.14648x;28.6409x
16x;4.83804x;1.15579x;29.0973x
17x;4.828x;1.16505x;29.5417x
18x;4.81798x;1.17426x;29.9745x
19x;4.80796x;1.18342x;30.3962x
20x;4.79796x;1.19252x;30.8071x
21x;4.78797x;1.20157x;31.2076x
22x;4.77799x;1.21057x;31.598x
23x;4.76801x;1.21952x;31.9787x
24x;4.75805x;1.22842x;32.35x
25x;4.7481x;1.23727x;32.7122x
26x;4.73816x;1.24607x;33.0656x
27x;4.72823x;1.25481x;33.4105x
28x;4.71831x;1.26351x;33.7471x
29x;4.7084x;1.27216x;34.0758x
30x;4.6985x;1.28076x;34.3967x
31x;4.68862x;1.28931x;34.7101x
32x;4.67874x;1.29782x;35.0162x
33x;4.66887x;1.30628x;35.3153x
34x;4.65901x;1.31469x;35.6076x
35x;4.64917x;1.32305x;35.8932x
36x;4.63933x;1.33136x;36.1723x
37x;4.6295x;1.33963x;36.4452x
38x;4.61969x;1.34786x;36.7121x
39x;4.60988x;1.35603x;36.973x
40x;4.60009x;1.36417x;37.2282x
41x;4.5903x;1.37225x;37.4779x
42x;4.58053x;1.3803x;37.7221x
43x;4.57077x;1.38829x;37.9611x
44x;4.56101x;1.39625x;38.195x
45x;4.55127x;1.40416x;38.4239x
46x;4.54154x;1.41202x;38.6479x
47x;4.53182x;1.41985x;38.8673x
48x;4.52211x;1.42763x;39.082x
49x;4.51241x;1.43536x;39.2924x
50x;4.50271x;1.44306x;39.4983x
51x;4.49303x;1.45071x;39.7001x
52x;4.48336x;1.45832x;39.8977x
53x;4.47371x;1.46588x;40.0913x
54x;4.46406x;1.47341x;40.281x
55x;4.45442x;1.48089x;40.4668x
56x;4.44479x;1.48834x;40.649x
57x;4.43517x;1.49574x;40.8276x
58x;4.42557x;1.5031x;41.0026x
59x;4.41597x;1.51042x;41.1741x
60x;4.40638x;1.51771x;41.3423x
61x;4.39681x;1.52495x;41.5073x
62x;4.38724x;1.53215x;41.669x
63x;4.37769x;1.53931x;41.8276x
64x;4.36814x;1.54644x;41.9831x
65x;4.35861x;1.55352x;42.1357x
66x;4.34908x;1.56057x;42.2853x
67x;4.33957x;1.56757x;42.4322x
68x;4.33007x;1.57454x;42.5762x
69x;4.32057x;1.58147x;42.7176x
70x;4.31109x;1.58837x;42.8562x
71x;4.30162x;1.59522x;42.9923x
72x;4.29216x;1.60204x;43.1259x
73x;4.28271x;1.60882x;43.257x
74x;4.27327x;1.61556x;43.3857x
75x;4.26384x;1.62227x;43.512x
76x;4.25442x;1.62894x;43.636x
77x;4.24501x;1.63557x;43.7577x
78x;4.23561x;1.64217x;43.8773x
79x;4.22622x;1.64873x;43.9946x
80x;4.21684x;1.65525x;44.1099x
81x;4.20748x;1.66174x;44.223x
82x;4.19812x;1.6682x;44.3342x
83x;4.18877x;1.67462x;44.4433x
84x;4.17944x;1.681x;44.5505x
85x;4.17011x;1.68735x;44.6558x
86x;4.16079x;1.69366x;44.7592x
87x;4.15149x;1.69994x;44.8608x
88x;4.14219x;1.70618x;44.9606x
89x;4.13291x;1.71239x;45.0587x
90x;4.12364x;1.71857x;45.155x
91x;4.11437x;1.72471x;45.2497x
92x;4.10512x;1.73082x;45.3427x
93x;4.09588x;1.7369x;45.4341x
94x;4.08664x;1.74294x;45.5239x
95x;4.07742x;1.74895x;45.6121x
96x;4.06821x;1.75492x;45.6988x
97x;4.05901x;1.76086x;45.784x
98x;4.04982x;1.76677x;45.8678x
99x;4.04064x;1.77265x;45.9501x
100x;4.03147x;1.7785x;46.031x
101x;4.02231x;1.78431x;46.1105x
102x;4.01316x;1.79009x;46.1887x
103x;4.00402x;1.79584x;46.2655x
104x;3.9949x;1.80155x;46.341x
105x;3.98578x;1.80724x;46.4152x
106x;3.97667x;1.81289x;46.4882x
107x;3.96757x;1.81851x;46.5599x
108x;3.95849x;1.8241x;46.6305x
109x;3.94941x;1.82966x;46.6998x
110x;3.94035x;1.83519x;46.7679x
111x;3.93129x;1.84069x;46.8349x
112x;3.92225x;1.84616x;46.9008x
113x;3.91321x;1.85159x;46.9656x
114x;3.90419x;1.857x;47.0293x
115x;3.89518x;1.86238x;47.0919x
116x;3.88617x;1.86772x;47.1534x
117x;3.87718x;1.87304x;47.2139x
118x;3.8682x;1.87833x;47.2734x
119x;3.85923x;1.88358x;47.3319x
120x;3.85026x;1.88881x;47.3895x
121x;3.84131x;1.89401x;47.446x
122x;3.83237x;1.89918x;47.5016x
123x;3.82344x;1.90432x;47.5563x
124x;3.81452x;1.90943x;47.6101x
125x;3.80561x;1.91451x;47.6629x
126x;3.79672x;1.91956x;47.7149x
127x;3.78783x;1.92459x;47.766x
128x;3.77895x;1.92958x;47.8162x
129x;3.77008x;1.93455x;47.8656x
130x;3.76122x;1.93949x;47.9142x
131x;3.75238x;1.9444x;47.9619x
132x;3.74354x;1.94929x;48.0089x
133x;3.73471x;1.95414x;48.0551x
134x;3.7259x;1.95897x;48.1004x
135x;3.71709x;1.96377x;48.145x
136x;3.7083x;1.96854x;48.1889x
137x;3.69952x;1.97329x;48.232x
138x;3.69074x;1.97801x;48.2744x
139x;3.68198x;1.9827x;48.3161x
140x;3.67322x;1.98736x;48.3571x
141x;3.66448x;1.992x;48.3973x
142x;3.65575x;1.99661x;48.4369x
143x;3.64703x;2.00119x;48.4758x
144x;3.63832x;2.00575x;48.514x
145x;3.62962x;2.01028x;48.5516x
146x;3.62093x;2.01478x;48.5886x
147x;3.61225x;2.01926x;48.6249x
148x;3.60358x;2.02371x;48.6606x
149x;3.59492x;2.02814x;48.6956x
150x;3.58627x;2.03254x;48.7301x
151x;3.57763x;2.03691x;48.7639x
152x;3.569x;2.04126x;48.7972x
153x;3.56038x;2.04558x;48.8299x
154x;3.55178x;2.04988x;48.862x
155x;3.54318x;2.05415x;48.8936x
156x;3.53459x;2.0584x;48.9245x
157x;3.52602x;2.06262x;48.955x
158x;3.51745x;2.06682x;48.9849x
159x;3.5089x;2.07099x;49.0143x
160x;3.50035x;2.07514x;49.0431x
161x;3.49182x;2.07926x;49.0714x
162x;3.48329x;2.08336x;49.0993x
163x;3.47478x;2.08743x;49.1266x
